id_contrato,data_contratacao,nome_produto,valor_emprestimo,quantidade_parcelas,prazo_dias,taxa_juros_anual,valor_parcela,score_cliente,idade_cliente,renda_mensal,parcela_sobre_renda
25,2025-06-25 22:59:32.226633,Empréstimo com Garantia,8642.9,24,720,12.82,410.17,638,30,8346.03,4.91
26,2025-10-15 22:59:32.226633,Empréstimo com Garantia,14599.43,24,720,17.01,721.9,586,47,1287.11,56.09
27,2024-09-21 22:59:32.226633,Empréstimo Pessoal,5319.88,60,1800,19.58,139.7,824,32,7797.95,1.79
28,2024-06-10 22:59:32.226633,Financiamento Imóvel,38873.46,180,5400,20.12,686.18,618,43,2799.61,24.51
29,2026-04-09 22:59:32.226633,Crédito Rotativo,8262.55,84,2520,10.0,137.17,833,27,6094.5,2.25
30,2024-11-17 22:59:32.226633,Crédito Rotativo,10579.2,24,720,8.92,482.92,731,20,4132.23,11.69
31,2024-09-26 22:59:32.226633,Empréstimo Pessoal,8255.5,24,720,8.0,373.37,698,37,12385.6,3.01
32,2025-12-11 22:59:32.226633,Crédito Rotativo,58795.61,48,1440,10.66,1509.91,687,41,2664.83,56.66
33,2025-08-18 22:59:32.226633,Empréstimo Pessoal,13216.25,48,1440,13.16,355.61,689,37,7626.04,4.66
34,2026-07-16 22:59:32.226633,Empréstimo Pessoal,5732.07,36,1080,13.92,195.69,457,28,4041.39,4.84
35,2024-11-22 22:59:32.226633,Empréstimo com Garantia,25797.58,36,1080,14.9,893.02,622,37,4399.24,20.3
36,2025-03-12 22:59:32.226633,Empréstimo Consignado,5030.75,48,1440,11.060471071325725,130.17,735,45,4321.26,3.01
37,2026-02-08 22:59:32.226633,Empréstimo com Garantia,15789.35,24,720,13.98,757.94,645,41,2719.03,27.88
38,2026-07-25 22:59:32.226633,Empréstimo Pessoal,2785.73,84,2520,14.57,53.09,509,44,4866.5,1.09
39,2025-02-28 22:59:32.226633,Empréstimo Consignado,4616.77,84,2520,12.317512101875085,82.28,645,34,4703.9,1.75
40,2024-01-05 22:59:32.226633,Empréstimo Pessoal,15638.47,48,1440,13.81,425.86,820,56,5818.91,7.32
41,2024-10-11 22:59:32.226633,Financiamento Imóvel,48458.82,240,7200,8.0,405.33,775,28,5214.27,7.77
42,2024-06-24 22:59:32.226633,Empréstimo com Garantia,15322.76,48,1440,22.17,484.18,644,48,8592.08,5.64
43,2025-10-03 22:59:32.226633,Crédito Rotativo,12179.16,12,360,12.61,1085.58,745,56,9381.13,11.57
44,2026-01-11 22:59:32.226633,Empréstimo Consignado,10499.86,12,360,14.312013338902254,944.29,613,48,2355.63,40.09
45,2025-07-01 22:59:32.226633,Empréstimo Pessoal,4093.61,24,720,21.94,212.25,480,40,9028.49,2.35
46,2026-08-30 22:59:32.226633,Financiamento Imóvel,69332.69,180,5400,18.01,1117.05,558,36,2142.15,52.15
47,2025-01-05 22:59:32.226633,Empréstimo Consignado,9241.77,60,1800,10.783012192537596,199.94,806,54,7416.77,2.7
48,2024-02-15 22:59:32.226633,Empréstimo Consignado,31122.86,48,1440,9.98426417355574,789.12,623,25,7584.16,10.4
49,2026-06-14 22:59:32.226633,Crédito Rotativo,17586.64,48,1440,12.42,466.76,626,30,1289.59,36.19
50,2025-12-03 22:59:32.226633,Empréstimo Pessoal,3260.28,36,1080,17.41,116.9,620,37,5245.29,2.23
51,2024-05-31 22:59:32.226633,Financiamento Veículo,17313.94,24,720,8.0,783.06,840,57,3540.6,22.12
52,2026-01-17 22:59:32.226633,Empréstimo com Garantia,9817.62,36,1080,12.28,327.4,813,47,2889.57,11.33
53,2024-07-28 22:59:32.226633,Empréstimo Consignado,7773.4,84,2520,12.507474593549667,139.34,850,30,12652.33,1.1
54,2025-03-15 22:59:32.226633,Empréstimo Pessoal,21792.93,12,360,14.28,1959.6,634,38,3110.14,63.01
55,2024-03-21 22:59:32.226633,Empréstimo Pessoal,30479.2,60,1800,13.76,705.41,680,35,2794.86,25.24
56,2026-06-03 22:59:32.226633,Financiamento Veículo,28142.16,36,1080,11.04,921.87,498,33,5182.21,17.79
57,2026-08-21 22:59:32.226633,Crédito Rotativo,6826.9,36,1080,9.3,218.05,798,54,7941.94,2.75
58,2025-01-16 22:59:32.226633,Empréstimo Pessoal,10431.97,48,1440,17.8,305.35,533,26,4450.83,6.86
59,2024-11-20 22:59:32.226633,Empréstimo Pessoal,17413.67,36,1080,15.36,606.73,672,61,11119.54,5.46
60,2026-02-21 22:59:32.226633,Crédito Rotativo,29156.59,60,1800,12.06,649.46,540,52,7127.27,9.11
61,2023-12-20 22:59:32.226633,Empréstimo com Garantia,9105.74,72,2160,22.51,231.56,591,55,1069.83,21.64
62,2024-06-12 22:59:32.226633,Empréstimo Consignado,11515.77,36,1080,8.413847204175221,363.06,566,36,3392.67,10.7
63,2025-05-01 22:59:32.226633,Empréstimo Consignado,5513.37,24,720,11.424187846264159,258.05,589,40,3316.65,7.78
64,2026-08-29 22:59:32.226633,Empréstimo Pessoal,5130.89,36,1080,18.22,186.06,596,25,6874.35,2.71
65,2026-05-17 22:59:32.226633,Crédito Rotativo,25591.63,72,2160,12.87,511.97,595,36,782.6,65.42
66,2024-06-26 22:59:32.226633,Financiamento Imóvel,149193.38,180,5400,22.22,2868.08,733,48,29269.66,9.8
67,2026-06-24 22:59:32.226633,Empréstimo Pessoal,12611.85,48,1440,11.23,327.37,540,58,7127.52,4.59
68,2026-01-29 22:59:32.226633,Empréstimo com Garantia,29816.77,48,1440,19.16,894.04,672,29,5454.6,16.39
69,2025-01-09 22:59:32.226633,Empréstimo Consignado,17841.97,48,1440,12.490077328630813,474.15,772,38,11238.46,4.22
70,2026-03-27 22:59:32.226633,Empréstimo Consignado,7973.7,12,360,11.460096206349672,706.44,599,40,25350.6,2.79
71,2026-05-08 22:59:32.226633,Empréstimo Consignado,17838.54,48,1440,8.913098113628505,443.18,578,25,9040.98,4.9
72,2026-04-12 22:59:32.226633,Financiamento Veículo,45726.32,72,2160,14.21,947.37,627,49,9548.78,9.92
73,2026-01-25 22:59:32.226633,Empréstimo com Garantia,12982.26,24,720,14.08,623.81,768,33,5385.59,11.58
74,2026-04-22 22:59:32.226633,Empréstimo com Garantia,46710.06,24,720,15.92,2285.28,669,40,4451.21,51.34
75,2026-03-29 22:59:32.226633,Empréstimo Consignado,1642.88,84,2520,15.188355912408024,31.88,597,37,3522.56,0.91
76,2024-01-18 22:59:32.226633,Empréstimo Pessoal,25784.32,24,720,18.09,1288.38,698,33,2756.51,46.74
77,2025-08-22 22:59:32.226633,Empréstimo Pessoal,14323.23,60,1800,21.17,388.86,540,42,3038.41,12.8
78,2025-09-30 22:59:32.226633,Crédito Rotativo,10517.48,36,1080,8.0,329.58,718,39,1909.53,17.26
79,2025-02-26 22:59:32.226633,Empréstimo Pessoal,14377.34,24,720,20.7,736.67,691,38,4660.56,15.81
80,2026-08-16 22:59:32.226633,Crédito Rotativo,2724.24,60,1800,8.62,56.05,619,33,1511.31,3.71
81,2026-01-10 22:59:32.226633,Empréstimo Consignado,11206.65,36,1080,12.207076307898351,373.33,566,46,5617.5,6.65
82,2025-10-07 22:59:32.226633,Empréstimo Consignado,17777.52,36,1080,14.862304235523482,615.07,561,62,4791.36,12.84
83,2024-01-10 22:59:32.226633,Empréstimo com Garantia,43578.33,36,1080,8.49,1375.46,703,44,5447.19,25.25
84,2026-07-11 22:59:32.226633,Empréstimo Consignado,8825.35,36,1080,11.47992749963911,290.94,773,54,3410.14,8.53
85,2026-05-21 22:59:32.226633,Empréstimo Pessoal,6996.78,24,720,10.75,325.29,586,25,42353.33,0.77
86,2026-03-23 22:59:32.226633,Empréstimo Consignado,8942.71,36,1080,10.239976036618472,289.56,696,44,12734.64,2.27
87,2026-07-23 22:59:32.226633,Crédito Rotativo,27786.95,72,2160,17.64,628.12,441,29,2056.62,30.54
88,2025-07-18 22:59:32.226633,Crédito Rotativo,17378.71,24,720,20.06,885.01,592,24,5784.91,15.3
89,2025-10-27 22:59:32.226633,Empréstimo Consignado,8744.6,48,1440,12.53836184051032,232.6,647,33,3211.19,7.24
90,2024-10-27 22:59:32.226633,Empréstimo com Garantia,20143.04,24,720,23.8,1062.97,559,56,2415.99,44.0
91,2024-10-23 22:59:32.226633,Empréstimo Pessoal,14438.62,48,1440,14.07,395.06,556,53,1923.59,20.54
92,2024-03-25 22:59:32.226633,Empréstimo Pessoal,28996.08,12,360,15.29,2621.11,583,45,6651.19,39.41
93,2025-04-16 22:59:32.226633,Empréstimo Pessoal,7618.67,72,2160,8.0,133.58,679,24,3050.42,4.38
94,2026-01-26 22:59:32.226633,Financiamento Veículo,10279.12,36,1080,11.35,338.23,631,40,9676.72,3.5
95,2024-03-07 22:59:32.226633,Empréstimo Pessoal,9762.59,24,720,24.3,517.62,426,46,9854.15,5.25
96,2024-07-25 22:59:32.226633,Empréstimo Pessoal,4143.05,12,360,27.32,398.45,438,44,12858.24,3.1
97,2024-09-14 22:59:32.226633,Empréstimo Consignado,16930.91,24,720,11.56842574734356,793.59,589,20,2706.28,29.32
98,2025-06-04 22:59:32.226633,Empréstimo Pessoal,16462.56,36,1080,11.12,539.9,696,31,6855.15,7.88
99,2025-04-04 22:59:32.226633,Crédito Rotativo,13414.49,24,720,20.37,685.17,375,41,7651.97,8.95
100,2024-02-27 22:59:32.226633,Empréstimo Pessoal,11073.72,60,1800,17.4,277.6,600,48,3526.55,7.87
101,2025-01-19 22:59:32.226633,Empréstimo Pessoal,4305.74,36,1080,12.01,143.03,597,18,2863.38,5.0
102,2024-04-19 22:59:32.226633,Crédito Rotativo,9542.24,24,720,14.34,459.68,789,40,15163.77,3.03
103,2023-12-27 22:59:32.226633,Empréstimo Consignado,10156.09,48,1440,9.644477084017284,255.85,611,44,5763.19,4.44
104,2025-01-07 22:59:32.226633,Crédito Rotativo,7031.66,48,1440,14.17,192.75,688,52,7670.81,2.51
105,2024-02-05 22:59:32.226633,Empréstimo com Garantia,11742.52,24,720,17.45,583.12,664,50,2764.31,21.09
106,2024-11-09 22:59:32.226633,Empréstimo Consignado,18457.77,24,720,14.93956851757499,894.43,437,49,2093.31,42.73
107,2026-08-04 22:59:32.226633,Crédito Rotativo,60412.34,12,360,11.28,5347.24,727,32,3299.03,162.09
108,2026-02-17 22:59:32.226633,Empréstimo Pessoal,15362.15,48,1440,14.01,419.87,672,19,4506.09,9.32
109,2026-05-11 22:59:32.226633,Empréstimo com Garantia,16416.47,48,1440,13.54,444.83,701,37,2333.32,19.06
110,2024-05-24 22:59:32.226633,Empréstimo Consignado,12587.3,36,1080,10.755459554212008,410.64,850,54,4881.02,8.41
111,2024-05-14 22:59:32.226633,Empréstimo Consignado,2878.38,60,1800,8.319467230408863,58.8,442,59,1507.26,3.9
112,2025-03-23 22:59:32.226633,Crédito Rotativo,13079.34,60,1800,19.55,343.26,822,51,2243.89,15.3
113,2025-09-22 22:59:32.226633,Financiamento Veículo,14019.22,36,1080,18.38,509.5,621,47,7860.75,6.48
114,2026-03-02 22:59:32.226633,Financiamento Imóvel,46982.14,120,3600,12.94,699.83,679,47,7499.96,9.33
115,2026-09-10 22:59:32.226633,Crédito Rotativo,11454.19,24,720,18.58,575.06,645,35,3735.68,15.39
116,2025-03-21 22:59:32.226633,Empréstimo Consignado,17004.58,12,360,14.656332107914665,1532.05,608,40,2410.44,63.56
117,2024-03-03 22:59:32.226633,Empréstimo Pessoal,12993.84,24,720,22.01,674.16,593,62,2394.23,28.16
118,2025-12-12 22:59:32.226633,Empréstimo Consignado,5245.14,12,360,10.991403968374753,463.55,683,31,3784.66,12.25
119,2026-09-08 22:59:32.226633,Empréstimo com Garantia,33331.5,36,1080,17.5,1196.67,498,61,7716.86,15.51
120,2025-10-20 22:59:32.226633,Empréstimo Consignado,24380.68,72,2160,10.784352214768752,461.38,725,38,9412.29,4.9
121,2024-12-30 22:59:32.226633,Financiamento Imóvel,75414.82,120,3600,8.84,948.81,608,58,3471.8,27.33
122,2026-08-05 22:59:32.226633,Empréstimo Consignado,6454.22,12,360,8.469224825940053,562.84,537,25,2191.97,25.68
123,2024-01-26 22:59:32.226633,Empréstimo Consignado,41037.25,36,1080,15.481882973193981,1432.27,605,49,5928.29,24.16
124,2025-10-23 22:59:32.226633,Empréstimo Consignado,4352.56,72,2160,9.421038825580625,79.37,776,33,2761.49,2.87
125,2024-03-19 22:59:32.226633,Financiamento Veículo,21364.49,24,720,24.74,1137.47,596,25,3419.41,33.27
126,2024-05-29 22:59:32.226633,Crédito Rotativo,77061.92,36,1080,25.44,3081.93,686,45,12427.83,24.8
127,2026-06-12 22:59:32.226633,Crédito Rotativo,6048.53,12,360,19.65,559.29,577,54,8769.02,6.38
128,2026-04-06 22:59:32.226633,Empréstimo Consignado,8492.7,12,360,12.1168989614113,755.03,726,32,5489.44,13.75
129,2025-12-23 22:59:32.226633,Financiamento Veículo,14468.38,84,2520,8.0,225.51,719,24,2017.59,11.18
130,2026-05-19 22:59:32.226633,Empréstimo Pessoal,8930.43,72,2160,8.59,159.16,835,41,5698.61,2.79
131,2025-12-05 22:59:32.226633,Financiamento Veículo,3864.04,12,360,11.42,342.27,632,41,10340.88,3.31
132,2025-03-08 22:59:32.226633,Empréstimo com Garantia,14112.98,72,2160,10.56,265.46,717,49,3778.4,7.03
133,2024-11-18 22:59:32.226633,Empréstimo Consignado,5711.04,48,1440,13.82524064508088,155.56,660,53,12654.65,1.23
134,2024-03-12 22:59:32.226633,Empréstimo com Garantia,19513.74,60,1800,10.04,414.99,780,41,12148.02,3.42
135,2026-02-05 22:59:32.226633,Crédito Rotativo,6402.61,36,1080,9.44,204.91,578,64,15750.27,1.3
136,2025-12-17 22:59:32.226633,Empréstimo Pessoal,46163.63,36,1080,17.24,1651.38,725,45,6085.54,27.14
137,2026-01-23 22:59:32.226633,Financiamento Veículo,7139.5,36,1080,10.02,230.44,631,38,7414.36,3.11
138,2025-01-03 22:59:32.226633,Empréstimo Consignado,10325.28,48,1440,12.843433866006194,276.2,644,23,13225.88,2.09
139,2025-04-19 22:59:32.226633,Empréstimo Consignado,25611.94,12,360,11.880691376015617,2274.16,659,39,6722.23,33.83
140,2026-03-06 22:59:32.226633,Empréstimo Pessoal,4990.59,12,360,9.9,438.52,675,38,3460.39,12.67
141,2026-01-12 22:59:32.226633,Empréstimo Consignado,16026.0,24,720,8.596668283425167,729.18,638,54,3590.4,20.31
142,2024-09-29 22:59:32.226633,Empréstimo com Garantia,38014.17,48,1440,13.15,1022.66,671,48,5807.98,17.61
143,2025-03-07 22:59:32.226633,Empréstimo Consignado,3692.33,24,720,10.380550328465432,171.03,808,28,1991.43,8.59
144,2025-11-10 22:59:32.226633,Crédito Rotativo,15486.24,48,1440,22.81,494.75,749,44,4445.82,11.13
145,2024-04-23 22:59:32.226633,Empréstimo Consignado,16447.13,72,2160,12.375600676085044,324.77,737,50,10589.13,3.07
146,2025-12-28 22:59:32.226633,Financiamento Imóvel,26530.52,180,5400,18.4,434.91,604,60,1060.1,41.03
147,2026-07-27 22:59:32.226633,Empréstimo com Garantia,4966.34,48,1440,14.45,136.84,561,53,14387.82,0.95
148,2025-08-11 22:59:32.226633,Financiamento Veículo,4645.41,36,1080,12.55,155.52,746,51,10782.31,1.44
149,2026-08-19 22:59:32.226633,Empréstimo Pessoal,20283.3,60,1800,26.46,612.83,738,43,3562.31,17.2
150,2026-08-24 22:59:32.226633,Empréstimo Consignado,16942.62,24,720,10.425651860026008,785.15,797,47,7189.48,10.92
151,2024-04-25 22:59:32.226633,Empréstimo Consignado,16324.04,48,1440,12.406718919997536,433.14,590,57,4925.61,8.79
152,2024-03-27 22:59:32.226633,Empréstimo com Garantia,17626.5,60,1800,17.8,445.68,627,26,11625.93,3.83
153,2024-07-02 22:59:32.226633,Financiamento Veículo,7754.12,72,2160,23.71,202.78,486,38,9777.88,2.07
154,2024-12-27 22:59:32.226633,Empréstimo Pessoal,16087.58,48,1440,16.27,458.15,611,33,1844.48,24.84
155,2024-12-19 22:59:32.226633,Empréstimo Pessoal,16889.68,36,1080,14.54,581.69,750,47,7413.69,7.85
156,2025-07-21 22:59:32.226633,Financiamento Veículo,7544.08,48,1440,13.98,206.08,603,57,4255.9,4.84
157,2024-09-05 22:59:32.226633,Empréstimo Pessoal,59433.87,60,1800,15.07,1416.11,714,35,5208.16,27.19
158,2025-09-13 22:59:32.226633,Crédito Rotativo,19517.49,36,1080,13.66,663.84,631,18,2952.12,22.49
159,2026-04-23 22:59:32.226633,Empréstimo com Garantia,5151.06,12,360,17.47,470.95,682,37,16708.89,2.82
160,2024-04-26 22:59:32.226633,Financiamento Veículo,22589.55,72,2160,15.45,483.19,535,53,10178.61,4.75
161,2026-09-05 22:59:32.226633,Empréstimo Pessoal,6125.74,48,1440,16.71,175.84,659,48,2928.25,6.0
162,2024-04-13 22:59:32.226633,Empréstimo Pessoal,25076.03,48,1440,20.83,774.21,351,47,1930.96,40.09
163,2024-08-18 22:59:32.226633,Empréstimo com Garantia,33754.75,24,720,21.01,1734.68,631,39,3751.94,46.23
164,2026-08-18 22:59:32.226633,Financiamento Imóvel,101736.8,300,9000,18.0,1543.78,487,27,6661.85,23.17
165,2024-07-12 22:59:32.226633,Empréstimo Consignado,28874.12,36,1080,13.363486817630283,977.95,771,48,5814.7,16.82
166,2024-01-16 22:59:32.226633,Empréstimo Consignado,18587.13,48,1440,13.925005771600203,507.22,728,32,11815.8,4.29
167,2024-06-27 22:59:32.226633,Crédito Rotativo,25787.58,12,360,9.53,2261.5,697,68,8543.65,26.47
168,2024-01-30 22:59:32.226633,Financiamento Imóvel,25315.16,120,3600,8.69,316.45,802,49,9688.53,3.27
169,2024-07-30 22:59:32.226633,Financiamento Veículo,10978.45,84,2520,13.92,205.25,555,35,6178.3,3.32
170,2024-11-19 22:59:32.226633,Financiamento Imóvel,89249.69,180,5400,18.37,1461.12,825,35,1858.44,78.62
171,2024-10-15 22:59:32.226633,Empréstimo Pessoal,6557.66,84,2520,8.0,102.21,743,41,4285.58,2.38
172,2024-10-08 22:59:32.226633,Empréstimo Pessoal,6955.94,36,1080,30.0,295.29,626,39,10322.31,2.86
173,2025-04-08 22:59:32.226633,Crédito Rotativo,12560.58,60,1800,18.0,318.96,764,55,4740.67,6.73
174,2024-05-08 22:59:32.226633,Financiamento Veículo,17551.97,48,1440,18.34,518.71,539,44,6989.49,7.42
175,2024-11-06 22:59:32.226633,Empréstimo Consignado,16669.78,36,1080,9.547641284374633,534.35,568,33,3931.89,13.59
176,2026-02-22 22:59:32.226633,Empréstimo Pessoal,25893.48,48,1440,17.65,755.89,589,65,2390.2,31.62
177,2024-09-30 22:59:32.226633,Financiamento Veículo,13499.41,60,1800,18.67,347.74,597,43,4508.23,7.71
178,2025-06-19 22:59:32.226633,Empréstimo Pessoal,42737.3,36,1080,20.35,1595.9,544,51,6101.76,26.15
179,2024-06-29 22:59:32.226633,Empréstimo Consignado,10810.51,24,720,16.39329210995791,531.35,772,35,3105.78,17.11
180,2025-05-16 22:59:32.226633,Empréstimo com Garantia,117728.37,48,1440,15.97,3334.65,624,46,4167.21,80.02
181,2025-04-02 22:59:32.226633,Empréstimo com Garantia,22038.23,60,1800,13.31,504.94,685,46,2546.25,19.83
182,2024-03-09 22:59:32.226633,Crédito Rotativo,6729.62,48,1440,15.38,188.59,593,19,10758.72,1.75
183,2025-07-24 22:59:32.226633,Empréstimo Consignado,5671.94,48,1440,13.534958689108262,153.67,468,66,3999.33,3.84
184,2024-10-14 22:59:32.226633,Crédito Rotativo,19652.86,36,1080,20.13,731.67,677,57,13587.82,5.38
185,2025-07-14 22:59:32.226633,Empréstimo com Garantia,11172.71,60,1800,21.79,307.25,459,37,14330.19,2.14
186,2025-10-11 22:59:32.226633,Empréstimo com Garantia,23651.94,12,360,8.14,2058.98,643,29,4643.71,44.34
187,2024-03-18 22:59:32.226633,Crédito Rotativo,19508.2,36,1080,21.02,735.17,513,46,2426.21,30.3
188,2025-04-24 22:59:32.226633,Empréstimo Consignado,12603.59,12,360,11.996571692661872,1119.79,849,43,1141.24,98.12
189,2026-08-08 22:59:32.226633,Empréstimo Pessoal,6785.65,24,720,13.09,322.89,741,46,1753.86,18.41
190,2025-04-15 22:59:32.226633,Empréstimo Pessoal,3976.36,36,1080,12.84,133.67,661,44,1878.66,7.12
191,2025-02-12 22:59:32.226633,Empréstimo Pessoal,9346.79,36,1080,18.1,338.38,776,48,12899.31,2.62
192,2024-06-22 22:59:32.226633,Empréstimo com Garantia,26505.8,48,1440,21.44,827.06,565,59,5329.84,15.52
193,2023-12-26 22:59:32.226633,Financiamento Veículo,15855.55,36,1080,10.06,512.06,704,49,6455.73,7.93
194,2025-08-09 22:59:32.226633,Crédito Rotativo,4931.55,36,1080,16.64,174.94,670,29,1038.68,16.84
195,2024-02-19 22:59:32.226633,Financiamento Veículo,15345.0,24,720,9.62,705.41,676,58,2124.78,33.2
196,2024-06-19 22:59:32.226633,Empréstimo Consignado,18183.21,36,1080,14.17907316615328,623.04,777,62,9144.94,6.81
197,2024-06-16 22:59:32.226633,Empréstimo Consignado,6587.4,24,720,16.730815543999945,324.84,723,75,6007.37,5.41
198,2025-11-15 22:59:32.226633,Empréstimo Consignado,15108.01,12,360,9.122559797886261,1322.08,679,29,4433.55,29.82
199,2024-12-15 22:59:32.226633,Empréstimo Pessoal,13996.56,48,1440,23.07,449.15,485,45,7298.25,6.15
200,2026-04-25 22:59:32.226633,Empréstimo Pessoal,5354.13,48,1440,19.49,161.48,554,18,15445.28,1.05
201,2024-05-19 22:59:32.226633,Empréstimo com Garantia,17787.12,48,1440,18.87,530.62,638,49,4210.22,12.6
202,2023-12-19 22:59:32.226633,Financiamento Imóvel,57499.84,240,7200,17.4,860.94,659,35,5159.31,16.69
203,2024-05-05 22:59:32.226633,Empréstimo Pessoal,31775.19,36,1080,14.05,1086.77,537,65,5624.11,19.32
204,2024-09-24 22:59:32.226633,Empréstimo Pessoal,31040.3,60,1800,13.16,708.81,850,33,26225.22,2.7
205,2026-06-06 22:59:32.226633,Financiamento Veículo,4437.58,36,1080,15.96,155.92,802,22,1130.54,13.79
206,2024-10-09 22:59:32.226633,Empréstimo Consignado,6309.05,36,1080,11.549474715017293,208.2,710,36,7928.79,2.63
207,2026-05-12 22:59:32.226633,Financiamento Veículo,20171.54,12,360,20.8,1876.31,657,18,4535.26,41.37
208,2026-05-29 22:59:32.226633,Crédito Rotativo,20151.39,24,720,18.96,1015.41,629,51,7308.11,13.89
209,2026-03-17 22:59:32.226633,Financiamento Imóvel,56368.94,240,7200,18.66,898.68,555,18,3102.11,28.97
210,2026-06-01 22:59:32.226633,Empréstimo Consignado,291322.21,36,1080,8.0,9128.98,658,42,4749.17,192.22
211,2025-03-28 22:59:32.226633,Crédito Rotativo,21093.34,36,1080,14.35,724.51,676,18,8086.79,8.96
212,2025-11-19 22:59:32.226633,Empréstimo com Garantia,33138.55,36,1080,13.07,1117.69,526,38,43435.71,2.57
213,2025-07-10 22:59:32.226633,Crédito Rotativo,28658.39,48,1440,13.52,776.25,683,62,8652.69,8.97
214,2024-02-22 22:59:32.226633,Empréstimo Consignado,22496.45,48,1440,12.38530306529605,596.68,634,46,2714.48,21.98
215,2025-10-04 22:59:32.226633,Empréstimo Pessoal,10381.54,60,1800,15.44,249.38,459,32,3653.23,6.83
216,2026-07-02 22:59:32.226633,Empréstimo com Garantia,24518.31,48,1440,16.0,694.86,564,42,3578.18,19.42
217,2024-03-23 22:59:32.226633,Empréstimo com Garantia,7199.31,72,2160,11.86,140.22,609,42,1398.35,10.03
218,2025-02-11 22:59:32.226633,Financiamento Veículo,11053.97,12,360,9.68,970.18,839,48,3900.8,24.87
219,2024-03-28 22:59:32.226633,Crédito Rotativo,9060.77,24,720,8.0,409.79,706,26,8208.95,4.99
220,2025-06-20 22:59:32.226633,Crédito Rotativo,14264.07,12,360,18.75,1312.83,516,49,2014.32,65.17
221,2026-04-04 22:59:32.226633,Empréstimo Pessoal,85112.3,48,1440,14.03,2327.1,699,18,10238.78,22.73
222,2026-01-05 22:59:32.226633,Crédito Rotativo,2999.46,60,1800,14.01,69.81,495,34,6914.96,1.01
223,2024-05-15 22:59:32.226633,Empréstimo com Garantia,23132.83,24,720,16.14,1134.2,758,36,2939.62,38.58
224,2024-10-12 22:59:32.226633,Financiamento Veículo,3676.91,72,2160,20.63,89.42,603,50,4451.2,2.01
225,2024-11-23 22:59:32.226633,Financiamento Imóvel,51527.33,300,9000,8.18,403.86,641,42,15045.37,2.68
226,2025-05-24 22:59:32.226633,Empréstimo Pessoal,31925.5,72,2160,8.53,568.06,783,25,8213.08,6.92
